id,season,number,production_code,episode_title,guest_star,role
258,7.0,152–724,3F21,Homerpalooza,The Smashing Pumpkins,Themselves
259,7.0,152–724,3F21,Homerpalooza,Sonic Youth,Themselves
260,7.0,153–725,3F22,Summer of 4 Ft. 2,Christina Ricci,Erin
261,7.0,153–725,3F22,Summer of 4 Ft. 2,Marcia Wallace,Edna Krabappel
262,8.0,154–801,4F02,Treehouse of Horror VII,Phil Hartman,Bill Clinton
263,8.0,155–802,3F23,You Only Move Twice,Albert Brooks,Hank Scorpio
264,8.0,155–802,3F23,You Only Move Twice,Sally Stevens,"Sings ""Scorpio"""
265,8.0,156–803,4F03,The Homer They Fall,Michael Buffer,Himself
266,8.0,156–803,4F03,The Homer They Fall,Sally Stevens,"Sings ""People"""
267,8.0,156–803,4F03,The Homer They Fall,Paul Winfield,Lucius Sweet
268,8.0,157–804,4F05,"Burns, Baby Burns",Rodney Dangerfield,Larry Burns
269,8.0,161–808,4F07,Hurricane Neddy,Jon Lovitz,Jay Sherman
270,8.0,162–809,3F24,El Viaje Misterioso de Nuestro Jomer; (The Mysterious Voyage of Homer),Johnny Cash,Coyote
271,8.0,163–810,3G01,The Springfield Files,Gillian Anderson,Dana Scully
272,8.0,163–810,3G01,The Springfield Files,David Duchovny,Fox Mulder
273,8.0,163–810,3G01,The Springfield Files,Leonard Nimoy,Himself
274,8.0,164–811,4F08,The Twisted World of Marge Simpson,Joe Mantegna,Fat Tony
275,8.0,164–811,4F08,The Twisted World of Marge Simpson,Jack Lemmon,Frank Ormand
276,8.0,164–811,4F08,The Twisted World of Marge Simpson,Marcia Wallace,Edna Krabappel
277,8.0,167–814,4F12,The Itchy & Scratchy & Poochie Show,Phil Hartman,Troy McClure
278,8.0,167–814,4F12,The Itchy & Scratchy & Poochie Show,Alex Rocco,Roger Meyers Jr.
279,8.0,168–815,4F11,Homer's Phobia,John Waters,John
280,8.0,169–816,4F14,Brother from Another Series,Kelsey Grammer,Sideshow Bob
281,8.0,169–816,4F14,Brother from Another Series,David Hyde Pierce,Cecil Terwilliger; Man in the crowd
282,8.0,169–816,4F14,Brother from Another Series,Marcia Wallace,Edna Krabappel
283,8.0,171–818,4F15,Homer vs. the Eighteenth Amendment,Joe Mantegna,Fat Tony
284,8.0,171–818,4F15,Homer vs. the Eighteenth Amendment,Dave Thomas,Rex Banner
285,8.0,172–819,4F09,Grade School Confidential,Michael Dees,"Sings ""Embraceable You"""
286,8.0,172–819,4F09,Grade School Confidential,Marcia Wallace,Edna Krabappel
287,8.0,173–820,4F16,The Canine Mutiny,Frank Welker,Santa's Little Helper; Laddie
288,8.0,174–821,4F17,The Old Man and the Lisa,Bret Hart,Himself
289,8.0,175–822,4F18,In Marge We Trust,Denice Kumagai,Dancer
290,8.0,175–822,4F18,In Marge We Trust,Karen Maruyama,Dancer
291,8.0,175–822,4F18,In Marge We Trust,Sab Shimono,Mr. Sparkle
292,8.0,175–822,4F18,In Marge We Trust,Gedde Watanabe,Factory foreman
293,8.0,175–822,4F18,In Marge We Trust,Frank Welker,Baboons
294,8.0,176–823,4F19,Homer's Enemy,Frank Welker,Executive Vice President dog
295,8.0,177–824,4F20,The Simpsons Spin-Off Showcase,Tim Conway,Himself
296,8.0,177–824,4F20,The Simpsons Spin-Off Showcase,Phil Hartman,Troy McClure
297,8.0,177–824,4F20,The Simpsons Spin-Off Showcase,Gailard Sartain,"Charles ""Big"" Daddy"
298,8.0,176–825,4F19,The Secret War of Lisa Simpson,Willem Dafoe,The Commandant
299,8.0,176–825,4F19,The Secret War of Lisa Simpson,Marcia Wallace,Edna Krabappel
300,9.0,179–901,4F22,The City of New York vs. Homer Simpson,Michael Dees,"Sings ""New York, New York"""
301,9.0,179–901,4F22,The City of New York vs. Homer Simpson,Joan Kenley,Telephone voice
302,9.0,179–901,4F22,The City of New York vs. Homer Simpson,Kipp Lennon,"Sings ""I'm Checking In"""
303,9.0,180–902,4F23,The Principal and the Pauper,Martin Sheen,The real Seymour Skinner
304,9.0,180–902,4F23,The Principal and the Pauper,Marcia Wallace,Edna Krabappel
305,9.0,181–903,3G02,Lisa's Sax,Fyvush Finkel,Himself playing Krusty
306,9.0,182–904,5F02,Treehouse of Horror VIII,Marcia Wallace,Edna Krabappel
307,9.0,184–906,5F03,Bart Star,Roy Firestone,Himself
308,9.0,184–906,5F03,Bart Star,Mike Judge,Hank Hill
309,9.0,184–906,5F03,Bart Star,Joe Namath,Himself
310,9.0,185–907,5F04,The Two Mrs. Nahasapeemapetilons,Jan Hooks,Manjula Nahasapeemapetilon
311,9.0,185–907,5F04,The Two Mrs. Nahasapeemapetilons,Andrea Martin,Apu's mother
312,9.0,185–907,5F04,The Two Mrs. Nahasapeemapetilons,Marcia Wallace,Edna Krabappel
313,9.0,186–908,5F05,Lisa the Skeptic,Stephen Jay Gould,Himself
314,9.0,186–908,5F05,Lisa the Skeptic,Phil Hartman,Lionel Hutz
315,9.0,186–908,5F05,Lisa the Skeptic,Marcia Wallace,Edna Krabappel
316,9.0,187–909,5F06,Realty Bites,Phil Hartman,Lionel Hutz
317,9.0,188–910,5F07,Miracle on Evergreen Terrace,Alex Trebek,Himself
318,9.0,188–910,5F07,Miracle on Evergreen Terrace,Marcia Wallace,Edna Krabappel
