id,Date,State,Total Confirmed Cases,Total Deaths
411,Sat 10/15,Kansas,883499,9609
412,Sat 10/15,Kentucky,1600312,17111
413,Sat 10/15,Louisiana,1459308,18136
414,Sat 10/15,Maine,293843,2625
415,Sat 10/15,Maryland,1259085,15469
416,Sat 10/15,Massachusetts,2069848,21841
417,Sat 10/15,Michigan,2861595,38919
418,Sat 10/15,Minnesota,1676151,13738
419,Sat 10/15,Mississippi,930438,12945
420,Sat 10/15,Missouri,1677735,21791
421,Sat 10/15,Montana,313031,3566
422,Sat 10/15,Nebraska,539389,4552
423,Sat 10/15,Nevada,850060,11535
424,Sat 10/15,New Hampshire,353387,2715
425,Sat 10/15,New Jersey,2767413,34823
426,Sat 10/15,New Mexico,622170,8603
427,Sat 10/15,New York,6168370,71435
428,Sat 10/15,North Carolina,3220858,26895
429,Sat 10/15,North Dakota,271085,2430
430,Sat 10/15,Northern Mariana Islands,13171,40
431,Sat 10/15,Ohio,3162278,40037
432,Sat 10/15,Oklahoma,1203469,14924
433,Sat 10/15,Oregon,902319,8622
434,Sat 10/15,Pennsylvania,3280190,47442
435,Sat 10/15,Puerto Rico,1000112,5211
436,Sat 10/15,Rhode Island,428874,3681
437,Sat 10/15,South Carolina,1715434,18468
438,Sat 10/15,South Dakota,262837,3046
439,Sat 10/15,Tennessee,2291224,27717
440,Sat 10/15,Texas,7898606,91139
441,Sat 10/15,Utah,1041933,5034
442,Sat 10/15,Vermont,143683,732
443,Sat 10/15,Virgin Islands,23240,123
444,Sat 10/15,Virginia,2102929,22032
445,Sat 10/15,Washington,1827975,14485
446,Sat 10/15,West Virginia,604108,7470
447,Sat 10/15,Wisconsin,1880837,15352
448,Sat 10/15,Wyoming,177635,1904
449,Sun 10/16,Alabama,1528739,20505
450,Sun 10/16,Alaska,297740,1350
451,Sun 10/16,American Samoa,8251,34
452,Sun 10/16,Arizona,2277635,31455
453,Sun 10/16,Arkansas,955956,12371
454,Sun 10/16,California,11317620,96460
455,Sun 10/16,Colorado,1670653,13569
456,Sun 10/16,Connecticut,905747,11410
457,Sun 10/16,Delaware,310993,3136
458,Sun 10/16,District of Columbia,169116,1392
459,Sun 10/16,Florida,7139149,81910
460,Sun 10/16,Georgia,2828618,38882
461,Sun 10/16,Guam,59664,402
462,Sun 10/16,Hawaii,349598,1696
463,Sun 10/16,Idaho,498183,5201
464,Sun 10/16,Illinois,3790782,39843
465,Sun 10/16,Indiana,1930022,24816
466,Sun 10/16,Iowa,859632,10126
467,Sun 10/16,Kansas,883499,9609
468,Sun 10/16,Kentucky,1600312,17111
469,Sun 10/16,Louisiana,1459308,18136
470,Sun 10/16,Maine,293842,2625
471,Sun 10/16,Maryland,1259085,15469
472,Sun 10/16,Massachusetts,2069848,21841
473,Sun 10/16,Michigan,2861595,38919
474,Sun 10/16,Minnesota,1676151,13738
475,Sun 10/16,Mississippi,930438,12945
476,Sun 10/16,Missouri,1677735,21791
477,Sun 10/16,Montana,313031,3566
478,Sun 10/16,Nebraska,539389,4552
479,Sun 10/16,Nevada,850060,11535
480,Sun 10/16,New Hampshire,353387,2715
481,Sun 10/16,New Jersey,2769422,34827
482,Sun 10/16,New Mexico,622170,8603
483,Sun 10/16,New York,6170556,71435
484,Sun 10/16,North Carolina,3220858,26895
485,Sun 10/16,North Dakota,271085,2430
486,Sun 10/16,Northern Mariana Islands,13171,40
487,Sun 10/16,Ohio,3162278,40037
488,Sun 10/16,Oklahoma,1203469,14924
489,Sun 10/16,Oregon,902319,8622
490,Sun 10/16,Pennsylvania,3280190,47442
491,Sun 10/16,Puerto Rico,1002048,5212
492,Sun 10/16,Rhode Island,428874,3681
493,Sun 10/16,South Carolina,1715434,18468
494,Sun 10/16,South Dakota,262837,3046
495,Sun 10/16,Tennessee,2291224,27717
496,Sun 10/16,Texas,7898606,91139
497,Sun 10/16,Utah,1041933,5034
498,Sun 10/16,Vermont,143683,732
499,Sun 10/16,Virgin Islands,23240,123
500,Sun 10/16,Virginia,2102929,22032
501,Sun 10/16,Washington,1827979,14485
502,Sun 10/16,West Virginia,604108,7470
503,Sun 10/16,Wisconsin,1880837,15352
504,Sun 10/16,Wyoming,177635,1904
505,Mon 10/17,Alabama,1529939,20508
506,Mon 10/17,Alaska,297740,1350
507,Mon 10/17,American Samoa,8251,34
508,Mon 10/17,Arizona,2277635,31455
509,Mon 10/17,Arkansas,956033,12372
510,Mon 10/17,California,11319190,96481
511,Mon 10/17,Colorado,1671792,13572
512,Mon 10/17,Connecticut,906027,11410
513,Mon 10/17,Delaware,311457,3136
514,Mon 10/17,District of Columbia,169149,1392
515,Mon 10/17,Florida,7142502,82021
516,Mon 10/17,Georgia,2828618,38882
517,Mon 10/17,Guam,59672,402
518,Mon 10/17,Hawaii,349598,1696
519,Mon 10/17,Idaho,498190,5202
520,Mon 10/17,Illinois,3794923,39856
521,Mon 10/17,Indiana,1930022,24816
522,Mon 10/17,Iowa,860166,10125
523,Mon 10/17,Kansas,883499,9609
524,Mon 10/17,Kentucky,1606537,17191
525,Mon 10/17,Louisiana,1459308,18136
526,Mon 10/17,Maine,293842,2625
527,Mon 10/17,Maryland,1259868,15478
528,Mon 10/17,Massachusetts,2069848,21841
529,Mon 10/17,Michigan,2861595,38919
530,Mon 10/17,Minnesota,1676151,13738
531,Mon 10/17,Mississippi,930438,12945
532,Mon 10/17,Missouri,1677944,21791
533,Mon 10/17,Montana,313126,3566
534,Mon 10/17,Nebraska,539389,4552
535,Mon 10/17,Nevada,850060,11535
536,Mon 10/17,New Hampshire,354327,2719
537,Mon 10/17,New Jersey,2772018,34832
538,Mon 10/17,New Mexico,622913,8603
539,Mon 10/17,New York,6181479,71481
540,Mon 10/17,North Carolina,3220858,26895
541,Mon 10/17,North Dakota,271085,2434
542,Mon 10/17,Northern Mariana Islands,13171,40
543,Mon 10/17,Ohio,3162278,40037
544,Mon 10/17,Oklahoma,1204546,14924
545,Mon 10/17,Oregon,902319,8622
546,Mon 10/17,Pennsylvania,3280746,47442
547,Mon 10/17,Puerto Rico,1002522,5212
548,Mon 10/17,Rhode Island,428874,3681
549,Mon 10/17,South Carolina,1715434,18468
550,Mon 10/17,South Dakota,262837,3046
551,Mon 10/17,Tennessee,2291965,27732
552,Mon 10/17,Texas,7902996,91156
553,Mon 10/17,Utah,1041933,5034
554,Mon 10/17,Vermont,143683,732
555,Mon 10/17,Virgin Islands,23256,123
556,Mon 10/17,Virginia,2105585,22041
557,Mon 10/17,Washington,1829217,14496
558,Mon 10/17,West Virginia,604788,7476
559,Mon 10/17,Wisconsin,1880837,15352
560,Mon 10/17,Wyoming,177635,1904
561,Tue 10/18,Alabama,1530411,20522
562,Tue 10/18,Alaska,297740,1350
563,Tue 10/18,American Samoa,8251,34
564,Tue 10/18,Arizona,2277635,31455
565,Tue 10/18,Arkansas,956424,12386
566,Tue 10/18,California,11319195,96481
567,Tue 10/18,Colorado,1672464,13578
568,Tue 10/18,Connecticut,907038,11420
569,Tue 10/18,Delaware,311538,3136
570,Tue 10/18,District of Columbia,169149,1392
571,Tue 10/18,Florida,7144141,82025
572,Tue 10/18,Georgia,2828618,38882
573,Tue 10/18,Guam,59672,402
574,Tue 10/18,Hawaii,349598,1696
575,Tue 10/18,Idaho,498194,5202
576,Tue 10/18,Illinois,3796284,39867
577,Tue 10/18,Indiana,1930022,24816
578,Tue 10/18,Iowa,860166,10125
579,Tue 10/18,Kansas,883499,9609
580,Tue 10/18,Kentucky,1606537,17191
581,Tue 10/18,Louisiana,1459308,18136
582,Tue 10/18,Maine,294415,2627
583,Tue 10/18,Maryland,1261418,15494
584,Tue 10/18,Massachusetts,2069848,21841
585,Tue 10/18,Michigan,2865394,39041
586,Tue 10/18,Minnesota,1676151,13738
587,Tue 10/18,Mississippi,930438,12945
588,Tue 10/18,Missouri,1678032,21791
589,Tue 10/18,Montana,313126,3566
590,Tue 10/18,Nebraska,539389,4552
591,Tue 10/18,Nevada,850204,11536
592,Tue 10/18,New Hampshire,354443,2721
593,Tue 10/18,New Jersey,2773961,34840
594,Tue 10/18,New Mexico,623179,8603
595,Tue 10/18,New York,6184627,71541
596,Tue 10/18,North Carolina,3220858,26895
597,Tue 10/18,North Dakota,271085,2434
598,Tue 10/18,Northern Mariana Islands,13171,40
599,Tue 10/18,Ohio,3162278,40037
600,Tue 10/18,Oklahoma,1205519,14924
601,Tue 10/18,Oregon,902319,8622
602,Tue 10/18,Pennsylvania,3280746,47442
603,Tue 10/18,Puerto Rico,1002681,5217
604,Tue 10/18,Rhode Island,428874,3681
605,Tue 10/18,South Carolina,1718600,18527
606,Tue 10/18,South Dakota,262837,3046
607,Tue 10/18,Tennessee,2293248,27735
608,Tue 10/18,Texas,7903332,91156
609,Tue 10/18,Utah,1041933,5034
610,Tue 10/18,Vermont,143683,732
611,Tue 10/18,Virgin Islands,23256,123
612,Tue 10/18,Virginia,2106527,22057
613,Tue 10/18,Washington,1829223,14496
614,Tue 10/18,West Virginia,605012,7479
615,Tue 10/18,Wisconsin,1884212,15374
616,Tue 10/18,Wyoming,178032,1906
617,Wed 10/19,Alabama,1530803,20526
618,Wed 10/19,Alaska,298095,1350
619,Wed 10/19,American Samoa,8251,34
620,Wed 10/19,Arizona,2283073,31514
621,Wed 10/19,Arkansas,956857,12396
622,Wed 10/19,California,11321488,96519
623,Wed 10/19,Colorado,1673522,13583
624,Wed 10/19,Connecticut,907476,11423
625,Wed 10/19,Delaware,311698,3136
626,Wed 10/19,District of Columbia,169149,1392
627,Wed 10/19,Florida,7145833,82065
628,Wed 10/19,Georgia,2832383,38986
629,Wed 10/19,Guam,59672,402
630,Wed 10/19,Hawaii,351768,1699
631,Wed 10/19,Idaho,498876,5206
632,Wed 10/19,Illinois,3796917,39875
