id,ORGANIZATION,SITE,LATITUDE,LONGITUDE,DATE,AVERAGE SURFACE TEMPERATURE (degrees C),NUMBER OF SAMPLES TAKEN
155,Boston University School of Education GLOBE v-School,Buick Street Patch,42.3517,-71.1161,9/28/2020,25.0,1.0
156,Boston University School of Education GLOBE v-School,Knyvet Square N,42.3482,-71.1153,9/28/2020,30.7,9.0
157,Boston University School of Education GLOBE v-School,Minot Square,42.3467,-71.1168,9/28/2020,23.5,3.0
158,Boston University School of Education GLOBE v-School,BU Esplanade,42.351403,-71.10469,9/29/2020,34.8,9.0
159,Boston University School of Education GLOBE v-School,Amory Park,42.346,-71.1124,9/30/2020,20.7,3.0
160,Boston University School of Education GLOBE v-School,Buick Street Patch,42.3517,-71.1161,9/30/2020,23.3,1.0
161,Boston University School of Education GLOBE v-School,Knyvet Square N,42.3482,-71.1153,9/30/2020,20.8,9.0
162,Boston University School of Education GLOBE v-School,Longwood Mall,42.343473,-71.110558,9/30/2020,20.1,1.0
163,Boston University School of Education GLOBE v-School,Rodriguez Home,42.771179,-71.071274,10/3/2020,15.9,3.0
164,Boston University School of Education GLOBE v-School,Skyline Park Brookline,42.31,-71.1661,10/3/2020,23.9,9.0
165,Boston University School of Education GLOBE v-School,Amory Park,42.346,-71.1124,10/5/2020,20.5,3.0
166,Boston University School of Education GLOBE v-School,Buick Street Patch,42.3517,-71.1161,10/5/2020,15.5,1.0
167,Boston University School of Education GLOBE v-School,Knyvet Square N,42.3482,-71.1153,10/5/2020,17.7,9.0
168,Boston University School of Education GLOBE v-School,Skyline Park Brookline,42.31,-71.1661,10/5/2020,30.8,9.0
169,Boston University School of Education GLOBE v-School,BU Esplanade,42.351403,-71.10469,10/6/2020,32.1,9.0
170,Boston University School of Education GLOBE v-School,BU Marshal Chapel,42.206,-71.624,10/6/2020,29.4,3.0
171,Boston University School of Education GLOBE v-School,Amory Park,42.346,-71.1124,10/7/2020,22.2,3.0
172,Boston University School of Education GLOBE v-School,Buick Street Patch,42.3517,-71.1161,10/7/2020,22.8,1.0
173,Boston University School of Education GLOBE v-School,Knyvet Square Brookline,42.347932,-71.114776,10/7/2020,23.3,5.0
174,Boston University School of Education GLOBE v-School,Knyvet Square N,42.3482,-71.1153,10/7/2020,21.4,9.0
175,Boston University School of Education GLOBE v-School,Rodriguez Home,42.771179,-71.071274,10/7/2020,16.1,3.0
176,Boston University School of Education GLOBE v-School,Skyline Park Brookline,42.31,-71.1661,10/7/2020,29.8,9.0
177,Boston University School of Education GLOBE v-School,BU Marshal Chapel,42.206,-71.624,10/8/2020,22.1,9.0
178,Boston University School of Education GLOBE v-School,Rodriguez Home,42.771179,-71.071274,10/10/2020,17.2,3.0
179,Boston University School of Education GLOBE v-School,Skyline Park Brookline,42.31,-71.1661,10/11/2020,19.5,9.0
180,Boston University School of Education GLOBE v-School,Buick Street Patch,42.3517,-71.1161,10/12/2020,11.1,1.0
181,Boston University School of Education GLOBE v-School,Minot Square,42.3467,-71.1168,10/12/2020,13.3,3.0
182,Boston University School of Education GLOBE v-School,BU Esplanade,42.351403,-71.10469,10/13/2020,20.4,9.0
183,Boston University School of Education GLOBE v-School,Amory Park,42.346,-71.1124,10/14/2020,24.1,3.0
184,Boston University School of Education GLOBE v-School,Buick Street Patch,42.3517,-71.1161,10/14/2020,21.1,1.0
185,Boston University School of Education GLOBE v-School,Knyvet Square Brookline,42.347932,-71.114776,10/14/2020,18.9,7.0
186,Boston University School of Education GLOBE v-School,Knyvet Square N,42.3482,-71.1153,10/14/2020,14.2,9.0
187,Boston University School of Education GLOBE v-School,Rodriguez Home,42.771179,-71.071274,10/15/2020,14.6,3.0
188,Boston University School of Education GLOBE v-School,Knyvet Square N,42.3482,-71.1153,10/17/2020,12.7,9.0
189,Boston University School of Education GLOBE v-School,Rodriguez Home,42.771179,-71.071274,10/17/2020,12.0,3.0
190,Boston University School of Education GLOBE v-School,Skyline Park Brookline,42.31,-71.1661,10/17/2020,17.5,9.0
191,Boston University School of Education GLOBE v-School,Skyline Park Brookline,42.31,-71.1661,10/18/2020,18.6,9.0
192,Boston University School of Education GLOBE v-School,Amory Park,42.346,-71.1124,10/19/2020,23.1,3.0
193,Boston University School of Education GLOBE v-School,Buick Street Patch,42.3517,-71.1161,10/19/2020,13.9,1.0
194,Boston University School of Education GLOBE v-School,Skyline Park Brookline,42.31,-71.1661,10/19/2020,21.1,9.0
195,Boston University School of Education GLOBE v-School,BU Esplanade,42.351403,-71.10469,10/20/2020,23.7,9.0
196,Boston University School of Education GLOBE v-School,BU Marshal Chapel,42.206,-71.624,10/20/2020,23.1,9.0
197,Boston University School of Education GLOBE v-School,Rodriguez Home,42.771179,-71.071274,10/20/2020,12.9,3.0
198,Boston University School of Education GLOBE v-School,Buick Street Patch,42.3517,-71.1161,10/21/2020,17.2,1.0
199,Boston University School of Education GLOBE v-School,Knyvet Square N,42.3482,-71.1153,10/21/2020,20.3,9.0
200,Boston University School of Education GLOBE v-School,Minot Square,42.3467,-71.1168,10/21/2020,21.5,3.0
201,Boston University School of Education GLOBE v-School,Amory Park,42.346,-71.1124,10/22/2020,21.8,3.0
202,Boston University School of Education GLOBE v-School,BU Marshal Chapel,42.206,-71.624,10/22/2020,23.2,9.0
203,Boston University School of Education GLOBE v-School,Knyvet Square N,42.3482,-71.1153,10/24/2020,18.8,9.0
204,Boston University School of Education GLOBE v-School,Skyline Park Brookline,42.31,-71.1661,10/25/2020,13.4,8.0
