id,event,race,city,country,distance,elevation_gain,elevation_loss,aid_stations
265,Pen Llyn Ultra 100,Pen Llyn Ultra 100,Pwllheli,United Kingdom,162.7,3220.0,-3180.0,7.0
266,#Småland100,#Småland100,Oskarshamn,Sweden,163.1,4040.0,-4040.0,7.0
267,Ultra Trail Pululahua Ecuador,Ultra Trail Pululahua Ecuador,QUITO,Ecuador,172.1,11250.0,-10810.0,22.0
268,XTRAIL Kanas Trail Run,168km,Kanas,China,168.6,5870.0,-5790.0,12.0
269,Jurassic Coast 100,Jurassic Coast 100m,Swanage,United Kingdom,168.2,4740.0,-4720.0,10.0
270,Old Cascadia,100 Mile,BlueRiver,United States,165.7,8120.0,-8110.0,14.0
271,Penang Eco 100,100 miles,BukitMertajam,Malaysia,167.3,4230.0,-4190.0,15.0
272,Pennine Barrier,Pennine Barrier Ultra 100,malham,United Kingdom,158.5,4560.0,-4560.0,10.0
273,West Highland Way Race,150km,Milngavie,United Kingdom,155.0,3640.0,-3680.0,8.0
274,South Wales 100,South Wales 100,Cardiff,United Kingdom,166.7,5840.0,-5840.0,11.0
275,ULTRA01 by XT,ULTRA 01XT,OYONNAX,France,165.1,6060.0,-6060.0,7.0
276,MONTANE® Spine® Summer Races,Flare,Edale,United Kingdom,173.9,4720.0,-4720.0,6.0
277,Mohican 100 Trail Run,Mohican 100 Mile Trail Run,Loudonville,United States,156.0,3630.0,-3620.0,19.0
278,Ultra Trail Gaspesia 100,100 miles,Percé,Canada,159.0,4130.0,-4130.0,21.0
279,Bighorn Trail Run,100M,Sheridan,United States,167.3,6740.0,-6800.0,7.0
280,Oh Meu Deus,100 Milhas OMD,Seia,Portugal,157.5,8460.0,-8460.0,13.0
281,Oh Meu Deus,OH MEU DEUS 160 TEAM,Seia,Portugal,157.6,8450.0,-8450.0,14.0
282,ADIDAS SPORT-MARAFON TRAIL,165 km,Nikola-Lenivets,Russia,162.4,1440.0,-1440.0,13.0
283,Centurion South Downs Way 100,Centurion South Downs Way 100,Worthing,United Kingdom,156.9,3340.0,-3400.0,14.0
284,Laulasmaa Ultra,Laulasmaa Ultra 8 loops,Laulasmaa,Estonia,167.9,1870.0,-1870.0,56.0
285,Trail des Volcans,157 km,Murat-le-Quaire,France,156.2,6320.0,-6570.0,7.0
286,SAN DIEGO 100,San Diego 100,Oceanside,United States,161.3,3950.0,-3950.0,15.0
287,Kettle Moraine 100,100 Mile,LaGrange,United States,161.0,2650.0,-2650.0,27.0
288,Chicamocha Canyon Race,CCR 100 millas,SanGil,Colombia,162.4,7210.0,-7210.0,11.0
289,Scout Mountain Ultras,162K,Pocatello,United States,162.0,6470.0,-6470.0,11.0
290,Ultra-Trail® Malopolska,UTM 170,KasinkaMala,Poland,171.9,8180.0,-8180.0,8.0
291,The Trail Challenge Rincón de la Vieja,160km,Liberia,Costa Rica,163.7,3370.0,-3360.0,15.0
292,Mac Mac Ultra,100m,Pretoria,South Africa,162.8,5900.0,-6140.0,14.0
293,Nuts Karhunkierros,159K,Kuusamo,Finland,159.5,3940.0,-3940.0,7.0
294,Chester Ultra,Chester Ultra 100,chester,United Kingdom,163.9,1830.0,-1830.0,9.0
295,Bryce Canyon,100 Mile,Hatch,United States,157.1,4470.0,-4460.0,13.0
296,Hardcore Hundred Miles Trail Ultramarathon,Hardcore Hundred Miles,Kayapa,Philippines,167.1,9480.0,-9500.0,11.0
297,Soria Moria til Verdens Ende,Soria Moria til Verdens Ende,VerdensEnde,Norway,162.3,4040.0,-4510.0,6.0
298,Trainic-World in Sainokuni,100mile,Ogose,Japan,163.2,9050.0,-9020.0,16.0
299,UTVV SLOVENIA,UTVV 100 miles,Vipava,Slovenia,160.6,6850.0,-6840.0,14.0
300,Ultra-Trail Snowdonia - UTS-50/100,UTS-100,CapelCurig,United Kingdom,170.9,10140.0,-10140.0,16.0
301,Ben Hockings,Hubert 100 Miles,ClarenceGardens,Australia,157.8,2630.0,-2630.0,9.0
302,Centurion Thames Path 100,Centurion Thames Path 100,London,United Kingdom,161.3,3160.0,-3110.0,13.0
303,Dragon 100,Dragon 100,Cardiff,United Kingdom,165.0,3550.0,-3550.0,11.0
304,100 miles of Beskid Wyspowy,100 miles of Beskid Wyspowy,Zalesie,Poland,164.1,6600.0,-6600.0,9.0
305,Täby Extreme Challenge,TEC 100 Miles,Täby,Sweden,160.7,1610.0,-1610.0,13.0
306,Aktivitus Trailrace,Ultra-Trail®,Jonsered,Sweden,164.7,3850.0,-3850.0,8.0
