id,event,race,city,country,distance,elevation_gain,elevation_loss,aid_stations
874,THE GREAT NORTH WALK 100S,100 MILES,Patonga,Australia,173.7,6500.0,-6500.0,0.0
875,OZARK 100 MILE ENDURANCE RUN,OZARK 100 MILE ENDURANCE RUN,Shawnee,United States,161.0,4500.0,-4500.0,0.0
876,PINHOTI 100,PINHOTI 100 MILES,Sylacauga,United States,161.88,4930.0,-5030.0,0.0
877,Cactus Rose,100 Mile,Bandera,United States,161.0,4400.0,-4400.0,0.0
878,Javelina Jundred,100 Miles,FortMcDowell,United States,162.9,1960.0,-1960.0,0.0
879,Virgin Forest Trail,Ultra-Trail®,PARANESTI,Greece,159.5,6600.0,-6600.0,0.0
880,Ultima Frontera Trail,ULTIMA FRONTERA 166,Loja,Spain,167.0,4820.0,-4820.0,0.0
881,Rodopi Advendurun,100 miles,Haidou,Greece,165.6,6965.0,-6965.0,0.0
882,Ultra-Trail del Rincon,UTR 170K,Castielfabib,Spain,170.0,6800.0,-6800.0,0.0
883,Le Grand Raid De La Réunion,Le Grand Raid De La Réunion,SaintDenis,France,164.6,10100.0,-10060.0,0.0
884,MAGREDI MOUNTAIN TRAIL,MAGREDI MOUNTAIN TRAIL 100 MI (MMT 100 MILE),Fontanafredda,Italy,162.0,7000.0,-7000.0,0.0
885,Mogollon Monster 100,MOGOLLON MONSTER 100,Pine,United States,170.6,7010.0,-7010.0,0.0
886,BEAR 100,BEAR 100,Smithfield,United States,161.0,6865.0,-6865.0,0.0
887,Black River Run,100 Miles,Västerås,Sweden,161.0,2400.0,-2400.0,0.0
888,Cotswold Way Century,100 Miles,ChippingCampden,United Kingdom,164.5,3250.0,-3250.0,0.0
889,PINE TO PALM 100 MILE ENDURANCE RUN,PINE TO PALM 100 MILE ENDURANCE RUN,Ashland,United States,161.0,6096.0,-6096.0,0.0
890,L'Infernal Trail Des Vosges,160 Km,SaintNabord,France,156.0,7300.0,-7300.0,0.0
891,OSJ Yatsugatake Super Trail,100 Miles,628-3TOKIWAKAMAKURA,Japan,160.0,6400.0,-6400.0,0.0
892,LOST SOUL ULTRAMARATHON,LOST SOUL ULTRA 100 MILES,Lethbridge,Canada,161.1,5535.0,-5535.0,0.0
893,SUPERIOR TRAIL RACES,SUPERIOR SAWTOOTH 100 MILE TRAIL RUN,Lutsen,United States,165.0,6100.0,-6400.0,0.0
894,The North Face Ultra-Trail Du Mont-Blanc®,UTMB®,Chamonix,France,167.7,9618.0,-9618.0,0.0
895,THE GREAT NASEBY WATER RACE,THE GREAT NASEBY WATER RACE - 160KM,Dunedin,New Zealand,162.7,2350.0,-2350.0,0.0
896,Le Grand Raid Des Pyrénées,GRP160 Ultra,vielle-Aure,France,161.0,9766.0,-9766.0,0.0
897,Mystery Ranch Ultra Challenge,Ghosts Of Yellowstone 100M,Pony,United States,161.0,8690.0,-8690.0,0.0
898,Ultra Tour Des 4 Massifs,Ut4M 160,Grenoble,France,167.8,10120.0,-10110.0,0.0
899,Centurion North Downs Way 100,Centurion North Downs Way 100,farnham,United Kingdom,161.0,3030.0,-3070.0,0.0
900,Angeles Crest 100 Mile Endurance Run,Angeles Crest 100 Mile Endurance Run,Arcadia,United States,160.8,6350.0,-7770.0,0.0
901,Burning River Endurance Run,100 Mile,Hudson,United States,161.0,2470.0,-2470.0,0.0
902,Chiemgauer 100,100 Mile,Bergen,Germany,160.0,7500.0,-7500.0,0.0
903,Tahoe Rim Trail Endurance Run,100 Mile,Carsoncity,United States,161.0,6030.0,-6030.0,0.0
904,Vermont 100 Endurance Race,100M,WestWindsor,United States,161.0,4290.0,-4290.0,0.0
905,OSJ Ontake Ultra-Trail®?,100 Miles,Otaki,Japan,155.0,4200.0,-4200.0,0.0
906,Ehunmilak Ultra-Trail®,Ehunmilak Ultra-Trail®,Beasain,Spain,168.0,10500.0,-10500.0,0.0
907,Salomon Xreid Hardangervidda,Salomon Xreid Hardangervidda,Asker,Norway,155.7,4800.0,-4800.0,0.0
908,Western States Endurance Run,Western States Endurance Run,Auburn,United States,161.0,5510.0,-7000.0,0.0
909,Andorra Ultra Trail Vallnord,ANDORRA RONDA DELS CIMS,Ordino,Andorra,171.0,12100.0,-12100.0,0.0
910,Centurion South Downs Way 100,Centurion South Downs Way 100,Worthing,United Kingdom,160.4,3442.0,-3500.0,0.0
911,Bighorn Mountain Wild And Scenic Trail Run,100M,Sheridan,United States,161.3,5500.0,-5500.0,0.0
912,SAN DIEGO 100,San Diego 100,Oceanside,United States,160.9,4790.0,-4790.0,0.0
913,Kettle Moraine 100,100 Mile,LaGrange,United States,161.9,2682.0,-2682.0,0.0
914,Mohican Trail,THE NORTH FACE MOHICAN TRAIL 100M,Loudonville,United States,161.0,3425.0,-3425.0,0.0
915,Bryce Canyon,100 Mile,Hatch,United States,161.0,4200.0,-4200.0,0.0
916,SULPHUR SPRINGS,SULPHUR SPRINGS 100 MILES,Ancaster,Canada,161.0,3220.0,-3220.0,0.0
917,Salomon Hammer Trail,100 Miles,allinge,Denmark,161.0,4000.0,-4000.0,0.0
918,Oh Meu Deus,K160+,Seia,Portugal,166.3,7110.0,-7110.0,0.0
919,Ultra-Trail Mt. Fuji,UTMF,Fuji,Japan,161.0,9164.0,-9164.0,12.0
920,INDIANA TRAIL 100,INDIANA TRAIL 100 MILE,Albion,United States,161.0,4000.0,-4000.0,0.0
921,Zion,100 Mile,Virgin,United States,161.0,2700.0,-2700.0,0.0
922,Täby Extreme Challenge,TEC 100 Miles,Täby,Sweden,160.9,2400.0,-2400.0,0.0
923,100 Miles Of Istria,100 Miles,Umag,Croatia,166.0,6900.0,-7200.0,0.0
924,Badger Mountain Challenge,100 Mile,Kennewick,United States,161.0,4300.0,-4300.0,0.0
925,Antelope Island Buffalo Run,100 Mile,Syracuse,United States,161.0,3600.0,-3600.0,0.0
926,Centurion Thames Path 100,Centurion Thames Path 100,London,United Kingdom,161.0,1600.0,-1600.0,0.0
927,Northburn Ultra Mountain Events,100 Mile,Cromwell,New Zealand,161.0,8000.0,-8000.0,0.0
928,HARDCORE HUNDRED MILES,100 MILES,Kayapa,Philippines,160.0,10000.0,-10000.0,0.0
929,Rocky Raccoon,100 Mile,Huntsville,United States,161.0,1800.0,-1800.0,0.0
930,La Mision,160 Km,SanMartíndelosAndes,Argentina,160.0,9000.0,-9000.0,0.0
931,Centurion Autumn 100,Centurion Autumn 100,GoringOnThames,United Kingdom,162.4,2130.0,-2140.0,0.0
932,Louceni,170 Km,UstinadLabem,Czech Republic,170.0,7300.0,-7200.0,24.0
933,THE GREAT NORTH WALK 100S,100 MILES,Patonga,Australia,173.7,6500.0,-6500.0,0.0
934,OZARK 100 MILE ENDURANCE RUN,OZARK 100 MILE ENDURANCE RUN,Shawnee,United States,161.0,4500.0,-4500.0,0.0
935,PINHOTI 100,PINHOTI 100 MILES,Sylacauga,United States,161.9,4930.0,-5030.0,0.0
936,Cactus Rose,100 Mile,Bandera,United States,161.0,4400.0,-4400.0,0.0
937,Javelina Jundred,100 Miles,FortMcDowell,United States,162.9,1960.0,-1960.0,0.0
938,Ultima Frontera Trail,ULTIMA FRONTERA 166,Loja,Spain,167.0,4820.0,-4820.0,0.0
939,Rodopi Ultra Trail,100 miles,Haidou,Greece,165.6,6965.0,-6965.0,0.0
940,Le Grand Raid De La Réunion,Le Grand Raid De La Réunion,SaintDenis,France,168.9,10982.0,-10952.0,0.0
941,MAGREDI MOUNTAIN TRAIL,MAGREDI MOUNTAIN TRAIL 100 MI (MMT 100 MILE),Fontanafredda,Italy,162.0,7000.0,-7000.0,0.0
942,Grindstone 100,Grindstone 100,Swoope,United States,163.0,7071.0,-7071.0,0.0
943,BEAR 100,BEAR 100,Smithfield,United States,161.0,6865.0,-6865.0,0.0
944,Mogollon Monster 100,MOGOLLON MONSTER 100,Pine,United States,170.6,7010.0,-7010.0,0.0
945,PINE TO PALM 100 MILE ENDURANCE RUN,PINE TO PALM 100 MILE ENDURANCE RUN,Ashland,United States,161.0,6100.0,-6100.0,0.0
946,L'Infernal Trail Des Vosges,160 Km,SaintNabord,France,156.0,7300.0,-7300.0,0.0
947,OSJ Yatsugatake Super Trail,100 Miles,628-3TOKIWAKAMAKURA,Japan,160.0,6400.0,-6400.0,0.0
948,LOST SOUL ULTRAMARATHON,LOST SOUL ULTRA 100 MILES,Lethbridge,Canada,161.1,5535.0,-5535.0,0.0
949,SUPERIOR TRAIL RACES,SUPERIOR SAWTOOTH 100 MILE TRAIL RUN,Lutsen,United States,165.0,6100.0,-6400.0,0.0
950,Le Grand Raid Des Pyrénées,GRP160 Ultra,vielle-Aure,France,160.7,9661.0,-9661.0,0.0
951,Centurion North Downs Way 100,Centurion North Downs Way 100,farnham,United Kingdom,161.0,3030.0,-3070.0,0.0
952,Burning River Endurance Run,100 Mile,Hudson,United States,161.0,2470.0,-2350.0,0.0
953,Chiemgauer 100,100 Mile,Bergen,Germany,160.0,7500.0,-7500.0,0.0
954,Angeles Crest 100 Mile Endurance Run,Angeles Crest 100 Mile Endurance Run,Arcadia,United States,160.8,6350.0,-7770.0,0.0
955,Vermont 100 Endurance Race,100M,WestWindsor,United States,161.0,4290.0,-4290.0,0.0
956,OSJ Ontake Ultra-Trail®?,100 Miles,Otaki,Japan,155.0,4200.0,-4200.0,0.0
957,Ehunmilak Ultra-Trail®,Ehunmilak Ultra-Trail®,Beasain,Spain,168.0,11000.0,-11000.0,0.0
958,Andorra Ultra Trail Vallnord,ANDORRA RONDA DELS CIMS,Ordino,Andorra,170.0,11000.0,-11000.0,0.0
959,Centurion South Downs Way 100,Centurion South Downs Way 100,Worthing,United Kingdom,161.0,4000.0,-4000.0,0.0
960,Western States Endurance Run,Western States Endurance Run,Auburn,United States,161.0,5510.0,-7000.0,0.0
961,Tahoe Rim Trail Endurance Run,100 Mile,Carsoncity,United States,161.0,6030.0,-6030.0,0.0
962,Bighorn Mountain Wild And Scenic Trail Run,100M,Sheridan,United States,161.3,5500.0,-5500.0,0.0
963,SAN DIEGO 100,San Diego 100,Oceanside,United States,160.9,4790.0,-4790.0,0.0
964,Ultra-Trail del Rincon,UTR 170K,Castielfabib,Spain,170.0,6800.0,-6800.0,0.0
965,Kettle Moraine 100,100 Mile,LaGrange,United States,161.9,2682.0,-2682.0,0.0
966,Mohican Trail,THE NORTH FACE MOHICAN TRAIL 100M,Loudonville,United States,161.0,3425.0,-3425.0,0.0
967,SULPHUR SPRINGS,SULPHUR SPRINGS 100 MILES,Ancaster,Canada,161.0,3220.0,-3220.0,0.0
968,Ultra-Trail Mt. Fuji,UTMF,Fuji,Japan,156.0,9164.0,-9164.0,10.0
969,Salomon Hammer Trail,100 Miles,allinge,Denmark,161.0,4000.0,-4000.0,0.0
970,Zion,100 Mile,Virgin,United States,161.0,2700.0,-2700.0,0.0
971,Täby Extreme Challenge,TEC 100 Miles,Täby,Sweden,160.9,2400.0,-2400.0,0.0
972,Badger Mountain Challenge,100 Mile,Kennewick,United States,161.0,4300.0,-4300.0,0.0
973,Antelope Island Buffalo Run,100 Mile,Syracuse,United States,161.0,3600.0,-3600.0,0.0
974,Northburn Ultra Mountain Events,100 Mile,Cromwell,New Zealand,161.0,8000.0,-8000.0,0.0
975,Alpine Challenge,100 Mile Individual,BerrysCreek,Australia,160.0,7100.0,-7100.0,0.0
976,Centurion Thames Path 100,Centurion Thames Path 100,London,United Kingdom,161.0,1600.0,-1600.0,0.0
977,Rocky Raccoon,100 Mile,Huntsville,United States,161.0,1800.0,-1800.0,0.0
978,,,,,,,,
979,,,,,,,,
980,,,,,,,,
981,,,,,,,,
982,,,,,,,,
983,,,,,,,,
984,,,,,,,,
985,,,,,,,,
986,,,,,,,,
987,,,,,,,,
988,,,,,,,,
989,,,,,,,,
990,,,,,,,,
991,,,,,,,,
992,,,,,,,,
993,,,,,,,,
994,,,,,,,,
995,,,,,,,,
996,,,,,,,,
997,,,,,,,,
998,,,,,,,,
999,,,,,,,,
1000,,,,,,,,
1001,,,,,,,,
1002,,,,,,,,
1003,,,,,,,,
1004,Leadville Trail 100 Run,100 MILE TRAIL RUN,Leadville,United States,0.0,0.0,0.0,0.0
